>> Engine created.
Таблица:  bank
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 7400, 0, 0)
('Iнші', 7400, 0, 0)
('Iнші', 7400, 0, 0)
('Iнші', 7400, 0, 0)
('Iнші', 7400, 0, 0)
('Iнші', 7400, 0, 0)
('Iнші', 7400, 0, 0)
('Iнші', 7400, 0, 0)
('Iнші', 7400, 0, 0)
('Iнші', 7400, 0, 0)
('Iнші', 7400, 0, 0)
('Iнші', 7400, 0, 0)
('Патенти (нафтопрод.)', 256900, 147100, 45900)
('Екологiчний податок', 0, 0, 0)
('Екологiчний податок', 0, 0, 0)
('Екологiчний податок', 0, 0, 63844)
('Екологiчний податок', 0, 0, 71994)
('Екологiчний податок', 0, 0, 0)
('Екологiчний податок', 0, 0, 0)
('Екологiчний податок', 0, 0, 63844)
('Екологiчний податок', 0, 0, 71994)
('Екологiчний податок', 0, 0, 0)
('Екологiчний податок', 0, 0, 0)
('Екологiчний податок', 0, 0, 63844)
('Екологiчний податок', 0, 0, 71994)
('Екологiчний податок', 0, 0, 0)
('Екологiчний податок', 0, 0, 0)
('Екологiчний податок', 0, 0, 63844)
('Екологiчний податок', 0, 0, 71994)
('Екологiчний податок', 0, 0, 0)
('Екологiчний податок', 0, 0, 0)
('Екологiчний податок', 0, 0, 63844)
('Екологiчний податок', 0, 0, 71994)
('Екологiчний податок', 0, 0, 0)
('Екологiчний податок', 0, 0, 0)
('Екологiчний податок', 0, 0, 63844)
('Екологiчний податок', 0, 0, 71994)
('Екологiчний податок', 0, 0, 0)
('Екологiчний податок', 0, 0, 0)
